Title,Content,Tags,Date,Published
"TypeScript Mapped Types","Mapped types in TypeScript let you create new types based on old ones by transforming properties. Use keyof with mapped types to iterate over property keys and apply transformations like making all properties optional or readonly.","typescript,programming","2024-12-15",true
"React Server Components Deep Dive","RSCs run exclusively on the server and never ship JavaScript to the client. They can directly access databases, file systems, and other server-side resources. Use the 'use client' directive only for interactive components that need hooks or browser APIs.","react,nextjs","2024-12-10",true
"CSS Container Queries","Container queries allow you to style elements based on the size of their containing element rather than the viewport. Use @container to define responsive styles that adapt to component context instead of screen size.","css,frontend","2024-12-05",true
"Git Interactive Rebase Tips","Use git rebase -i HEAD~n to interactively rebase the last n commits. You can squash, reorder, edit, or drop commits. Great for cleaning up commit history before merging a feature branch.","git,tooling","2024-11-28",true
"PostgreSQL JSONB Indexing","GIN indexes on JSONB columns in PostgreSQL dramatically speed up containment queries (@>) and existence checks (?). Use CREATE INDEX idx ON table USING GIN (column) for best query performance on JSON data.","database,postgres","2024-11-20",true
"Zod Schema Validation","Zod is a TypeScript-first schema validation library. Unlike Yup or Joi, Zod infers TypeScript types from your schemas automatically. Use z.infer<typeof schema> to extract the type. Pairs perfectly with React Hook Form.","typescript,validation","2024-11-15",true
"Docker Multi-Stage Builds","Multi-stage builds let you use multiple FROM statements in a Dockerfile. Copy artifacts from one stage to another, leaving behind everything you don't need. This dramatically reduces final image size.","docker,devops","2024-11-10",true
"Next.js App Router Caching","Next.js 14 has four caching layers: Request Memoization, Data Cache, Full Route Cache, and Router Cache. Understanding when each is used and how to opt out is critical for dynamic applications.","nextjs,caching","2024-11-05",true
"Vim Motions Cheatsheet","Essential vim motions: ciw (change inner word), da( (delete around parens), yap (yank paragraph), gg=G (re-indent entire file), ctrl+a/ctrl+x (increment/decrement numbers).","vim,tooling","2024-10-28",false
"WebSocket vs SSE","WebSockets provide full-duplex communication. Server-Sent Events (SSE) are simpler, unidirectional (server to client), and work over HTTP. Use SSE when you only need server push (live feeds, notifications). Use WebSockets for bidirectional real-time apps (chat, gaming).","networking,web","2024-10-20",true
